"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",0,4.13615508768194,0.933,0.003,0
"UTY",0,-1.53842239871569,0,0.619,0
"NLGN4Y",0,-1.79127312563078,0.002,0.657,0
"TTTY14",0,-2.1212513559036,0.002,0.721,0
"USP9Y",0,-1.78793406665392,0,0.677,0
"PCDH9",3.12577595127189e-290,1.03858948421475,0.979,0.896,7.84726052566808e-286
"PCSK1N",1.91261336856251e-277,-1.41277016432076,0.242,0.737,4.80161586177618e-273
"CALM1",6.19468877366724e-252,-1.28652358514153,0.666,0.915,1.55517661662916e-247
"ATP1B1",7.7987505263975e-252,-1.34183558785375,0.447,0.828,1.95787631965209e-247
"PPP2R1A",3.20680547210697e-247,-1.23306641787006,0.335,0.785,8.05068513772454e-243
"ACTB",6.48557584187755e-242,-1.26150498459913,0.522,0.866,1.62820381510336e-237
"RALYL",4.36579851242976e-238,1.1755138332059,0.886,0.667,1.09603371654549e-233
"FAM155A",4.73580750971277e-238,0.832728618398034,0.956,0.898,1.18892447531339e-233
"FAIM2",5.58705460268667e-238,-1.22220472615213,0.54,0.871,1.40263005800449e-233
"NORAD",1.23197230244477e-234,-1.28022624241671,0.369,0.787,3.0928664652876e-230
"TERF2IP",5.4353010901866e-222,-1.06558115482391,0.259,0.716,1.36453233869135e-217
"MTRNR2L1",1.78056397220199e-216,-1.07573747919574,0.005,0.365,4.47010585221308e-212
"KDM5D",1.86830908802504e-214,-0.76696516308465,0,0.351,4.69038996548685e-210
"SYT1",6.9476035686269e-211,0.633438467342102,0.975,0.963,1.74419587590378e-206
"MT-ND3",4.03676706106732e-208,1.17272146323404,0.982,0.956,1.01343037068095e-203
"PEBP1",3.61273199303695e-201,-1.0870217220531,0.294,0.717,9.06976366851927e-197
"PREPL",5.28299082473281e-196,-0.970104436452599,0.506,0.848,1.32629484654917e-191
"PRNP",5.76508340513264e-196,-0.995186639236187,0.58,0.884,1.44732418885855e-191
"PDE10A",5.8564610375116e-195,-1.03000445929491,0.179,0.614,1.47026454346729e-190
"PTPRD",5.86229714186184e-191,0.988251979991487,0.945,0.885,1.47172969746441e-186
"CALY",2.70616090245053e-181,-1.0715523764852,0.27,0.681,6.79381694560205e-177
"GDI1",3.37064437915479e-180,-0.98450448644891,0.428,0.796,8.46200271386809e-176
"NUCKS1",4.97962279693809e-178,-0.915122169201962,0.454,0.815,1.25013430317131e-173
"TSPAN7",2.82838931032295e-176,-0.971299501200342,0.206,0.613,7.10067136356578e-172
"ATP6V1B2",6.13429293146233e-176,-1.00544746804786,0.277,0.679,1.54001424044362e-171
"MT-ATP6",1.3776896784677e-174,1.05344945928545,0.971,0.941,3.45868993779317e-170
"PDZRN4",1.07077404597655e-173,1.72361375249297,0.587,0.281,2.68817824242412e-169
"RAB3A",1.2439958975805e-173,-1.00527692718743,0.117,0.493,3.12305170087585e-169
"SLC12A5",1.34119602442278e-172,-0.966959065418329,0.264,0.671,3.3670726193134e-168
"PPIA",1.85356653258934e-172,-0.954391414623412,0.254,0.657,4.65337878006553e-168
"PNMA2",4.34358168410163e-171,-0.927101408029596,0.257,0.659,1.09045618179371e-166
"PLXDC2",3.12112872453369e-170,1.45715528470608,0.653,0.406,7.83559366294183e-166
"IDS",1.53488716164655e-169,-0.906889615773857,0.641,0.892,3.85333421931366e-165
"EEF1A2",4.45586677414099e-169,-1.02900472449345,0.339,0.731,1.11864535364809e-164
"NKAIN2",1.38578488256524e-168,1.02582733844564,0.87,0.735,3.47901294768002e-164
"GNAS",2.87600430292603e-163,-0.86977562786078,0.602,0.88,7.22020880249581e-159
"CADM2",2.99081630039005e-163,0.619484896780614,0.98,0.949,7.50844432212921e-159
"MT-CO1",1.66614490960207e-162,-0.955557543060949,0.94,0.998,4.18285679555598e-158
"AC092691.1",2.04104858719463e-159,1.1098235517748,0.848,0.743,5.12405247815211e-155
"PCDH11Y",4.50009355821706e-156,-1.284629758411,0.011,0.29,1.12974848779039e-151
"RPH3A",1.09925641381911e-153,-1.00698553136713,0.134,0.498,2.75968322689288e-149
"CLIP3",1.0166313528549e-148,-0.866660936324665,0.245,0.625,2.55225301134223e-144
"LRP1B",2.67293258120479e-148,1.08810506957268,0.94,0.866,6.71039724511463e-144
"DIRAS1",6.50056258635117e-147,-0.868773328399179,0.155,0.511,1.63196623730346e-142
"TTTY15",3.9778218993033e-146,-0.548213268398637,0,0.253,9.98632187820093e-142
"CELF2",4.09572476922748e-146,0.663872106199968,0.938,0.9,1.02823170331456e-141
"NEGR1",7.12599553188606e-143,0.78017710902006,0.926,0.884,1.78898117827999e-138
"ENO2",8.84658928220844e-142,-0.96506322651392,0.429,0.76,2.22093623929843e-137
"AC098850.3",3.79128121280591e-141,-0.853976867565228,0.373,0.706,9.51801148474923e-137
"PKM",3.99710719844737e-138,-0.881498889847174,0.339,0.692,1.00347376217021e-133
"FKBP8",4.59574915613434e-136,-0.835117953353586,0.281,0.647,1.15376282564753e-131
"CLSTN2",5.83861952679392e-135,1.23507018371261,0.639,0.39,1.46578543220161e-130
"SERINC1",2.9606211738453e-134,-0.85580903518905,0.326,0.678,7.43263945693863e-130
"VSTM2A",3.65230983470261e-134,-0.804680486569684,0.26,0.623,9.16912384002091e-130
"TAGLN3",4.80383214356206e-134,-0.783579582084235,0.263,0.625,1.20600205964126e-129
"INPP5F",2.41596964668136e-133,-0.822901214875561,0.335,0.689,6.06529179799355e-129
"AC124312.1",6.28224607137976e-133,-0.673078784024844,0.747,0.907,1.57715787621989e-128
"SEZ6L2",1.56116161719728e-132,-0.840400944755857,0.206,0.557,3.91929623997377e-128
"PGAM1",2.14820341687238e-132,-0.870115387012308,0.142,0.469,5.39306467805811e-128
"BLCAP",9.62113293411225e-131,-0.823973055213434,0.245,0.598,2.41538542310888e-126
"ARF1",8.04028044407769e-130,-0.766273215734442,0.202,0.553,2.0185124054857e-125
