"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IDH3G",-1.35797913670097,7.55295089753778,-10.9053259662189,3.72591705213119e-21,2.60273334722261e-18,37.4577212656966
"ATP5C1",-1.41846450379292,9.90764666809244,-10.8092138369327,6.86699723251143e-21,4.13068958527875e-18,36.8588686950098
"TUBB",-1.14663010243443,9.2964455497269,-10.7639565693258,9.15545378484506e-21,5.21740399238999e-18,36.5771565145925
"PSMB3",-1.15044466180477,8.75563159675002,-9.83845676660797,3.12495788702504e-18,7.04905865036741e-16,30.86496452226
"PCYOX1L",-1.33985411128744,7.90297024090304,-9.81523961880702,3.6121711144405e-18,7.74470945378307e-16,30.7231055576724
"ATP5B",-1.20873057806518,10.647099625096,-9.80209118830444,3.92092038835992e-18,8.32426774607197e-16,30.6428039384103
"ME3",-1.0407335286322,7.35565178747192,-9.79848065423182,4.01021007026259e-18,8.43117466713945e-16,30.6207579184107
"RAD51C",-1.32173195501727,6.72278141287603,-9.59881101241916,1.38861019012897e-17,2.54833505654601e-15,29.4047976694101
"RAP1GDS1",-1.02360440484713,8.87767821272256,-9.58822107776354,1.48289581558251e-17,2.67600907386994e-15,29.3404894059448
"NME1",-1.42142882163742,9.05505156649418,-9.55976790835216,1.76899062467442e-17,3.11443024205892e-15,29.1677997433525
"COPG2IT1",-1.27541686667001,11.1567517075332,-9.40705039012482,4.54885648178571e-17,7.08672569158773e-15,28.2433405450276
"EMC4",-1.02303604904307,8.71214378020084,-9.32190461812007,7.68777385465486e-17,1.12485637042264e-14,27.7297625114689
"AP3M2",-1.07742595820154,9.0476334867138,-9.2440577411377,1.24064042863831e-16,1.74454990143913e-14,27.2614161969802
"NDUFA7",-1.60154634368234,6.3873738848647,-9.21261186783502,1.50473606095061e-16,2.06226656781545e-14,27.0725655810873
"PSMB7",-1.07314204190048,8.5391557763414,-9.17715421320518,1.87010690870969e-16,2.49144712361511e-14,26.8598581455905
"CALM1",-1.9405424333409,7.26566247252681,-9.143330539061,2.30049270898105e-16,2.94776151556123e-14,26.6571893487511
"ANXA6",-1.27827240997975,7.15889366271303,-9.09713406703058,3.051538340894e-16,3.77127350608035e-14,26.3807626030029
"ATP6V1G2",-1.43820026209548,9.45829063749767,-9.09548204369916,3.08250016428641e-16,3.77127350608035e-14,26.3708855475066
"TUBB4B",-1.26694449457433,10.5710917797198,-9.06848020095325,3.63519950893229e-16,4.32528820691916e-14,26.2095288810652
"PTPN3",-1.4208840261399,6.16754022484315,-9.03296313582079,4.51482346868401e-16,5.17293662509801e-14,25.9975214982481
"MLLT11",-1.18126501447,12.5366802128823,-9.02150353518933,4.84152001698057e-16,5.51805873514286e-14,25.9291745369404
"SLC35B1",-1.18577362842753,7.50864210318413,-8.96014539036085,7.03445119764029e-16,7.57865874054231e-14,25.5637069188871
"TUBB3",-1.34123342580494,10.1755999872197,-8.93747333155867,8.07407341442459e-16,8.48757571793032e-14,25.4288735751788
"SLC25A4",-1.08746507481147,8.21867563182815,-8.91848343265897,9.06140457740189e-16,9.31027113107507e-14,25.3160260860742
"ADCYAP1",-1.8519032708619,5.61015811603098,-8.77867796809864,2.11341208347006e-15,1.99851260556962e-13,24.4877473944925
"UCHL1",-1.512039581806,9.98130845459552,-8.74242215680356,2.63055311672736e-15,2.4448338087009e-13,24.2736903877205
"ACOT7",-1.21667684990987,8.6781479109726,-8.6636388546892,4.22819444368797e-15,3.66246202712252e-13,23.8096328331799
"GLS2",-1.19885969305212,6.49454883475215,-8.6504849886048,4.57619631447734e-15,3.88617769372576e-13,23.7322995735598
"ZNF415",-1.02082161797262,7.69343074542718,-8.62746369564244,5.25506644902165e-15,4.29428165862505e-13,23.5970570729183
"INA",-1.49205212462235,10.6261309408925,-8.60540761081585,5.99902357714478e-15,4.79368470712437e-13,23.467608211271
"SST",-2.55483981660617,7.12281673153725,-8.4434352488265,1.58032352794472e-14,1.14454535109174e-12,22.5207690570661
"CD200",-1.32841795652176,8.14006101679109,-8.35571713244812,2.66281568603162e-14,1.84227711440942e-12,22.0108693573048
"ASAH2B",-1.09366378751138,6.37970595783369,-8.31915978084069,3.30761750476097e-14,2.22442413247201e-12,21.7989792470031
"ATP6V1H",-1.10691178517089,9.01744964394233,-8.28797265261128,3.9786133950851e-14,2.57184695733039e-12,21.618506662618
