"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PLP1","PLP1",0,3.45703192138595,0.986,0.212,0,"0"
"CTNNA3","CTNNA3",0,3.19811993972571,0.998,0.296,0,"0"
"ST18","ST18",0,3.03842841452822,0.985,0.167,0,"0"
"AL359091.1","AL359091.1",0,2.82241016397638,0.828,0.112,0,"0"
"TMEM144","TMEM144",0,2.78038723345684,0.943,0.151,0,"0"
"CERCAM","CERCAM",0,2.76067524800037,0.921,0.167,0,"0"
"MBP","MBP",0,2.71735021571598,0.985,0.394,0,"0"
"TF","TF",0,2.71495251078477,0.874,0.138,0,"0"
"AC026316.5","AC026316.5",0,2.69099532238055,0.885,0.126,0,"0"
"PIP4K2A","PIP4K2A",0,2.63819935975505,0.993,0.411,0,"0"
"KCNH8","KCNH8",0,2.61653575103252,0.909,0.147,0,"0"
"RNF220","RNF220",0,2.58979675383026,0.96,0.271,0,"0"
"PDE1C","PDE1C",0,2.50893697446183,0.966,0.331,0,"0"
"ENPP2","ENPP2",0,2.50801781720303,0.852,0.09,0,"0"
"MOBP","MOBP",0,2.50468641422142,0.816,0.113,0,"0"
"SLC44A1","SLC44A1",0,2.49604601713376,0.991,0.508,0,"0"
"HHIP","HHIP",0,2.49107965782698,0.761,0.075,0,"0"
"PALM2","PALM2",0,2.48520235180302,0.767,0.131,0,"0"
"QDPR","QDPR",0,2.46703850973822,0.878,0.247,0,"0"
"SCD","SCD",0,2.45141009338738,0.722,0.094,0,"0"
"TMEM165","TMEM165",0,2.44219782774484,0.934,0.311,0,"0"
"PDE4B","PDE4B",0,2.43499503071668,0.994,0.526,0,"0"
"CNP","CNP",0,2.43210489030307,0.809,0.14,0,"0"
"LINC01608","LINC01608",0,2.42153178401214,0.709,0.066,0,"0"
"CREB5","CREB5",0,2.40863297234072,0.903,0.187,0,"0"
"MAN2A1","MAN2A1",0,2.39830127159258,0.95,0.449,0,"0"
"EDIL3","EDIL3",0,2.35301440050081,0.986,0.491,0,"0"
"CLDND1","CLDND1",0,2.33643856215503,0.831,0.199,0,"0"
"NCKAP5","NCKAP5",0,2.28926102944355,0.951,0.315,0,"0"
"PLCL1","PLCL1",0,2.27572446745143,0.967,0.483,0,"0"
"C10orf90","C10orf90",0,2.26882649256733,0.838,0.135,0,"0"
"SLCO1A2","SLCO1A2",0,2.26506774170552,0.754,0.073,0,"0"
"CNTN2","CNTN2",0,2.26407590466133,0.822,0.156,0,"0"
"UGT8","UGT8",0,2.22126168217708,0.758,0.086,0,"0"
"PLEKHH1","PLEKHH1",0,2.21214774021552,0.789,0.123,0,"0"
"PHLPP1","PHLPP1",0,2.21194140654302,0.945,0.42,0,"0"
"FRMD4B","FRMD4B",0,2.21059128787697,0.898,0.194,0,"0"
"TMTC2","TMTC2",0,2.20141040111431,0.949,0.376,0,"0"
"LAMP2","LAMP2",0,2.19830033558406,0.839,0.234,0,"0"
"PRUNE2","PRUNE2",0,2.19775634051481,0.9,0.346,0,"0"
"MOG","MOG",0,2.19223461478389,0.689,0.059,0,"0"
"COL4A5","COL4A5",0,2.17443397856203,0.749,0.09,0,"0"
"SHTN1","SHTN1",0,2.17079391060432,0.968,0.441,0,"0"
"CLMN","CLMN",0,2.16131476293173,0.815,0.142,0,"0"
"FAM107B","FAM107B",0,2.16049349692423,0.728,0.091,0,"0"
"DOCK5","DOCK5",0,2.14783423378618,0.885,0.197,0,"0"
"BCAS1","BCAS1",0,2.14698166923661,0.799,0.126,0,"0"
"LINC00639","LINC00639",0,2.14309179528438,0.672,0.065,0,"0"
"TTLL7","TTLL7",0,2.13143690155208,0.963,0.523,0,"0"
"LPAR1","LPAR1",0,2.12776408917595,0.699,0.082,0,"0"
"HDAC2-AS2","HDAC2-AS2",0,2.12732416892702,0.701,0.184,0,"0"
"MYRF","MYRF",0,2.12068920561666,0.721,0.078,0,"0"
"SLC24A2","SLC24A2",0,2.09059117900217,0.988,0.575,0,"0"
"AMER2","AMER2",0,2.07542971590496,0.779,0.192,0,"0"
"DOCK10","DOCK10",0,2.03789705297189,0.959,0.349,0,"0"
"MAG","MAG",0,2.0341148373387,0.607,0.047,0,"0"
"SHROOM4","SHROOM4",0,2.02293439930605,0.678,0.095,0,"0"
"PXK","PXK",0,2.02287892332821,0.802,0.226,0,"0"
"CARNS1","CARNS1",0,2.01934225973013,0.642,0.073,0,"0"
"IL1RAPL1","IL1RAPL1",0,2.0060264224923,0.999,0.739,0,"0"
"ERBIN","ERBIN",0,2.00491081568671,0.963,0.5,0,"0"
"AC012593.1","AC012593.1",0,1.99389162316352,0.513,0.093,0,"0"
"PCSK6","PCSK6",0,1.98483920614346,0.612,0.1,0,"0"
"QKI","QKI",0,1.97782065036013,0.998,0.687,0,"0"
"GPM6B","GPM6B",0,1.97035919788038,0.972,0.617,0,"0"
"FRYL","FRYL",0,1.96059411401462,0.943,0.518,0,"0"
"SIK3","SIK3",0,1.95548687878242,0.978,0.662,0,"0"
"FRMD5","FRMD5",0,1.94804104644298,0.979,0.575,0,"0"
"SGK1","SGK1",0,1.94647052122622,0.875,0.332,0,"0"
"ABCA2","ABCA2",0,1.93741100660359,0.877,0.303,0,"0"
"PLD1","PLD1",0,1.93637529420231,0.666,0.105,0,"0"
"SLAIN1","SLAIN1",0,1.93588307116308,0.851,0.366,0,"0"
"HAPLN2","HAPLN2",0,1.92918805844201,0.677,0.125,0,"0"
"LINC00320","LINC00320",0,1.91478551136675,0.616,0.102,0,"0"
"GRM3","GRM3",0,1.90952478741303,0.856,0.319,0,"0"
"ELMO1","ELMO1",0,1.90950166226952,0.979,0.503,0,"0"
"ABCA8","ABCA8",0,1.90847792434892,0.583,0.054,0,"0"
"PDE8A","PDE8A",0,1.90415029913119,0.827,0.29,0,"0"
"CNDP1","CNDP1",0,1.89907395634763,0.544,0.049,0,"0"
"ANLN","ANLN",0,1.89088284887698,0.613,0.067,0,"0"
