"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GAS2L1",1.17670006799376,9.50676057029784,12.8331714359729,1.59102706656518e-26,3.4453691126469e-22,49.5644985544475
"DTNA",1.57150477262159,9.70625043657392,12.4398322713477,1.99764741730592e-25,2.16295274108798e-21,47.08784668557
"MALAT1",1.51044745782357,12.7172482593137,12.2706211392668,5.93102463638158e-25,4.28121128336144e-21,46.0224427166888
"PXDC1",1.57062486844851,7.65140726816356,12.1143209721985,1.62000470361693e-24,8.77030046420616e-21,45.0386074736424
"HSD17B7",1.19841915559737,9.03952338706006,11.9918263326852,3.55926723075646e-24,1.53506135152871e-20,44.2678627331293
"NSUN6",1.70906663395609,8.68744117434439,11.9640978337612,4.25322932771749e-24,1.53506135152871e-20,44.0934396046317
"AMER2",1.30896786789845,11.3258802643158,11.6353583310747,3.50756327611717e-23,9.34671253417231e-20,42.0272944739786
"SEMA4C",1.28591459485382,9.61050927917515,11.6194344141403,3.88457228388598e-23,9.34671253417231e-20,41.9273107408128
"COL27A1",1.2470387608862,6.85412153465322,11.527386707409,7.00706568227753e-23,1.264483394581e-19,41.3495734218404
"ERBB2IP",1.51441414517356,8.80546877913679,11.4525045526717,1.13192928901956e-22,1.88553298105527e-19,40.8798664641524
"ITPKB",1.61678953421587,6.97872335016703,11.4315417606161,1.29450578944089e-22,2.00232306216732e-19,40.7484249611298
"NUCKS1",1.10630872794356,11.797223111634,11.3818894192274,1.7787503763431e-22,2.56792262664732e-19,40.4371852253815
"SRRM2",1.82409991811957,9.96767623185847,11.3488672789755,2.19719197968717e-22,2.97376202000786e-19,40.2302639112245
"MAFF",2.10169514400609,8.4115990380632,11.3131294874916,2.76143737753694e-22,3.51758390650367e-19,40.0063951698277
"KLF15",1.54525452684972,8.1025378873878,11.1744154534314,6.70049808544001e-22,8.06107144667797e-19,39.1381897490668
"BCL6",1.37149367357425,9.4902961863874,11.1637966497911,7.17058791496903e-22,8.17258322624496e-19,39.0717774517923
"ARHGEF40",1.21586206362466,7.08813696961548,11.1264698487922,9.09999755013153e-22,8.92484105369285e-19,38.8383874947633
"MED13L",1.0916843547506,8.14648671496073,11.1208215244893,9.43403010729946e-22,8.92484105369285e-19,38.8030789734101
"TNPO1",1.1798491968409,10.1538114511639,11.1123074167541,9.9608119485381e-22,8.92484105369285e-19,38.7498601681457
"SASH1",1.37361356027274,10.0552020312689,11.1108932113705,1.00511117028303e-21,8.92484105369285e-19,38.7410209352176
"MAP4K4",1.28251858019449,9.19350711990324,11.0982503080501,1.08955747462386e-21,9.07475658191528e-19,38.6620049649125
"CREBBP",1.05775606283138,8.46587438982276,11.0532085570659,1.45220844279353e-21,1.12312763673907e-18,38.3805937526776
"SLC35E1",1.37936476756008,9.51283448637778,11.0333027370314,1.64874349473533e-21,1.23115656477564e-18,38.2562731772587
"JUND",1.26220003772579,9.82884237741554,11.0243281040625,1.74582949215218e-21,1.26019792175185e-18,38.2002322095399
"NFIA",1.43619638508779,9.03534749994062,10.8784883042383,4.4199088426367e-21,2.99103518710306e-18,37.2904240532392
"ANP32B",1.44569488031182,10.4150128644845,10.8547123857345,5.14172265082836e-21,3.2748236471673e-18,37.1422626357504
"FAM63A",1.68279812540763,8.81881926043882,10.8135275483691,6.68123282368863e-21,4.13068958527875e-18,36.8857295873183
"ACACB",1.62619441696854,8.27832081674059,10.7525211366435,9.84531661757858e-21,5.46667516291447e-18,36.5060034682026
"BBX",1.09136006346392,8.5278193303709,10.7367651757902,1.08815582036714e-20,5.89100357251259e-18,36.4079868382698
"MKNK2",1.59848695140798,10.2369222977102,10.7190614294482,1.21762444881497e-20,6.41282394336231e-18,36.2978803007668
"NFKBIA",1.30637516624459,8.62960685027496,10.7157150299729,1.24377097954845e-20,6.41282394336231e-18,36.2770709819741
"TOB1",1.41903875396248,9.82066302997905,10.671351967079,1.64823674968248e-20,8.30059693357539e-18,36.0013019103224
"SNRNP48",1.05826889219037,7.57502368867465,10.655952896502,1.81737819684335e-20,8.94439201196425e-18,35.9056221041364
"PFKFB3",1.3516983665518,11.5764117006022,10.6292696398164,2.15246494397101e-20,1.01329626873244e-17,35.7398840158266
"CTD-3092A11.2",1.57993539231108,8.57686229840285,10.612493969634,2.39399825014004e-20,1.08004233555797e-17,35.6357207653815
"KIAA0485",1.85775566051548,7.84003185935878,10.5267399112433,4.12128948718238e-20,1.81105089963215e-17,35.1037003858386
"QKI",1.31155513530111,9.95079114429827,10.4934448535891,5.08789417464186e-20,2.11881439138211e-17,34.8973421462951
"LUC7L3",1.01189939013707,11.4005419389467,10.4594517313384,6.30823971307289e-20,2.57745152804893e-17,34.6867795009387
"ADAM33",1.59665125114268,7.85873363225027,10.4391999810064,7.16982160812041e-20,2.87523123933051e-17,34.5613943240853
"RFX4",1.45922614040069,7.34907053456479,10.4319590839807,7.50555988852104e-20,2.9551436251986e-17,34.5165745193468
"TAF3",1.09596687986555,7.86467045478441,10.4127902129176,8.47198893686394e-20,3.21861263908401e-17,34.3979508645881
"EZR",1.63225210648036,6.81209398805539,10.409281236444,8.66188885736622e-20,3.23402074493561e-17,34.3762405362704
"DNAJC1",1.22076644265115,9.21344863616215,10.3932321572074,9.5859942650412e-20,3.51838484422826e-17,34.2769612021883
"CDK13",1.21634543431504,9.044938150443,10.3177804424957,1.54325658952316e-19,5.39019700743935e-17,33.8106135132633
"LOC101929787",1.67315964405862,8.39031962745125,10.2800836272526,1.95726724569491e-19,6.52071110854204e-17,33.5778694698135
"SOX2",1.23666095482457,8.61204190152965,10.2733352079696,2.04229812103164e-19,6.70090391074852e-17,33.5362220277872
"ATP8B1",1.51163669485223,9.00252729558352,10.2303501397542,2.67734061522836e-19,8.54810843182098e-17,33.2710727628649
"NOTCH2",1.51615318072481,8.42783211730951,10.2299415834501,2.68423631200105e-19,8.54810843182098e-17,33.2685537135467
"LPP",1.13517293470081,8.06131956356369,10.1624853788577,4.10338620231845e-19,1.25153279170713e-16,32.8529241465134
"HIPK2",1.52905490917063,9.33578902221686,10.1342883865308,4.89908463414918e-19,1.47346774656251e-16,32.6793614112542
"NOTCH2NL",1.69560171835795,10.9000581891886,10.1249759668919,5.19429087825229e-19,1.54085436943224e-16,32.6220628103333
"MSI2",1.08812877269031,7.59071714139926,10.1040935191081,5.92231386768676e-19,1.7330771189832e-16,32.4936161620713
"VCAN",1.31547401486624,8.20789381282652,10.1013726728476,6.02437181092482e-19,1.73943695420769e-16,32.476884649933
"PRR34-AS1",1.59990808289212,9.02913525309864,10.0934962215444,6.32980285263312e-19,1.78015429576325e-16,32.4284549215216
"PGF",1.65910835735031,10.2067128062062,10.0555958611763,8.02954443385382e-19,2.20100993310259e-16,32.1955342617171
"RP11-403P17.4",1.58917992255678,10.819673172498,10.0371106544553,9.01661170826836e-19,2.44068408178189e-16,32.0820021093543
"PRR11",1.54495187239692,10.8457818073835,10.0192218944805,1.00867632582582e-18,2.69665257231583e-16,31.9721778597898
"GLUL",1.38869947447518,11.8310324284041,10.0055841297893,1.09868344970079e-18,2.87293159146413e-16,31.8884814517069
"KIF5B",1.20733180986458,10.075034357608,10.0052267492497,1.10114671942518e-18,2.87293159146413e-16,31.8862885174605
"PLSCR4",1.61900750373833,9.02728160404202,9.97192680247751,1.35655249581115e-18,3.49716003533219e-16,31.6820342478657
